,pdq_config,rmse
330,"[(1, 1, 1), (1, 0, 1, 12), 'c']",5.5151756455652885
331,"[(2, 0, 1), (1, 0, 0, 12), 'c']",5.535440519968472
332,"[(0, 0, 0), (0, 0, 2, 12), 'c']",5.541256919606935
333,"[(0, 0, 1), (1, 0, 1, 12), 't']",5.5429701317812246
334,"[(0, 1, 2), (0, 0, 2, 12), 't']",5.549951565627805
335,"[(2, 0, 2), (0, 0, 2, 12), 'c']",5.565608714438936
336,"[(0, 0, 2), (0, 1, 0, 12), 't']",5.569577151328598
337,"[(0, 0, 1), (0, 1, 2, 12), 'c']",5.576341465084892
338,"[(0, 0, 1), (1, 1, 2, 12), 'c']",5.576341465084892
339,"[(0, 0, 1), (2, 1, 2, 12), 'c']",5.576341465084892
340,"[(0, 1, 2), (2, 0, 1, 12), 't']",5.5832348371833636
341,"[(1, 0, 2), (2, 0, 0, 12), 'ct']",5.595017429872553
342,"[(2, 1, 0), (1, 0, 0, 12), 'ct']",5.608502453851553
343,"[(1, 0, 0), (0, 0, 0, 12), 'c']",5.60919261561896
344,"[(1, 0, 1), (2, 0, 0, 12), 'ct']",5.6204776152955755
345,"[(2, 0, 2), (0, 0, 0, 12), 'ct']",5.624444591967848
346,"[(1, 1, 1), (0, 1, 2, 12), 'c']",5.625424144135347
347,"[(1, 1, 1), (1, 1, 2, 12), 'c']",5.625424144135347
348,"[(1, 1, 1), (2, 1, 2, 12), 'c']",5.625424144135347
349,"[(0, 0, 2), (0, 0, 1, 12), 'c']",5.6312945731295905
350,"[(1, 0, 0), (2, 0, 2, 12), 'ct']",5.645444982491531
351,"[(1, 1, 1), (2, 1, 0, 12), 'c']",5.646290244884963
352,"[(1, 1, 1), (2, 1, 1, 12), 'c']",5.646290244884963
353,"[(1, 1, 1), (2, 0, 0, 12), 'c']",5.652790945801434
354,"[(2, 1, 2), (0, 0, 0, 12), 'ct']",5.663159567382793
355,"[(2, 0, 1), (1, 1, 1, 12), 't']",5.667824091806939
356,"[(1, 0, 1), (2, 0, 2, 12), 'ct']",5.672254314788183
357,"[(1, 0, 1), (1, 0, 1, 12), 'c']",5.678687626737118
358,"[(1, 0, 0), (2, 0, 1, 12), 'ct']",5.679518826099761
359,"[(1, 0, 1), (0, 0, 1, 12), 't']",5.683039319422837
360,"[(2, 0, 0), (0, 0, 2, 12), 'ct']",5.685491189621101
361,"[(1, 0, 0), (0, 0, 1, 12), 't']",5.686553030418122
362,"[(0, 0, 2), (0, 1, 0, 12), 'c']",5.692532367630204
363,"[(0, 1, 0), (0, 0, 1, 12), 'ct']",5.693595171575354
